test-merror-mean,test-merror-std,train-merror-mean,train-merror-std,nb,bst_nb,bst_merror
0.224297,0.00373266092754,0.1774072,0.00232999806009,0,4715,0.1384348
0.2127054,0.00216052499176,0.162228,0.00264870209725,1,4715,0.1384348
0.2057826,0.00357594522329,0.1560742,0.00180691221702,2,4715,0.1384348
0.203342,0.00486099541246,0.1538328,0.00199214792623,3,4715,0.1384348
0.2033422,0.00296737907252,0.1523672,0.00227766752622,4,4715,0.1384348
0.2012732,0.00366829504811,0.151598,0.00212258992742,5,4715,0.1384348
0.200212,0.00357805528185,0.1495756,0.00183811301067,6,4715,0.1384348
0.1999204,0.00346023112523,0.1490384,0.00195292197489,7,4715,0.1384348
0.1992838,0.00378152008589,0.1479442,0.00170261744382,8,4715,0.1384348
0.1992574,0.00341798546515,0.1477056,0.0013112538427,9,4715,0.1384348
0.1980372,0.00366529155184,0.1472748,0.0011777723719,10,4715,0.1384348
0.1978516,0.00342932055078,0.1463858,0.0014455647201,11,4715,0.1384348
0.1977716,0.00317122175825,0.1458554,0.00195560452035,12,4715,0.1384348
0.19687,0.00322416959852,0.1455502,0.0017115208909,13,4715,0.1384348
0.1970028,0.00362563425624,0.1453714,0.00166824765548,14,4715,0.1384348
0.1969232,0.0036392935798,0.1450532,0.00151338367905,15,4715,0.1384348
0.196419,0.00287529914965,0.1443898,0.00128688638193,16,4715,0.1384348
0.1963396,0.0033251296877,0.14374,0.00155107072695,17,4715,0.1384348
0.1968432,0.00274317636327,0.143455,0.00160915667354,18,4715,0.1384348
0.1963664,0.00338920584208,0.1431432,0.00118927059999,19,4715,0.1384348
0.195411,0.00334102858413,0.142646,0.00107096199746,20,4715,0.1384348
0.1959948,0.00321735110922,0.1424802,0.00118158849013,21,4715,0.1384348
0.1960214,0.0033046985097,0.1420356,0.000987951739712,22,4715,0.1384348
0.1955968,0.00346802695491,0.1416314,0.000979461403017,23,4715,0.1384348
0.1949866,0.00383956709018,0.141353,0.000921454719452,24,4715,0.1384348
0.1948542,0.00334512130722,0.1410876,0.000912683866407,25,4715,0.1384348
0.1946418,0.00354440287778,0.1405504,0.000841151496462,26,4715,0.1384348
0.194483,0.00367219836066,0.1404244,0.000873457863895,27,4715,0.1384348
0.1940052,0.0035063681153,0.1398276,0.000866394044301,28,4715,0.1384348
