index,type_id_x,type_label_x,result_score_x,type_id_y,type_label_y,result_score_y,type_id_x,type_label_x,result_score_x,type_id_y,type_label_y,result_score_y,type_id,type_label,result_score
10154,10,0,0.000848208495881,10,0,0.000936253811233,10,0,0.00135298795067,10,0,0.000104500322777,10,1,0.996296703815
10155,10,0,0.000636301585473,10,0,0.00166564946994,10,0,0.00133820751216,10,0,0.000116239789349,10,1,0.994387924671
10156,2,0,0.000521454319824,2,1,0.997614502907,2,0,0.00016182330728,2,0,0.000314245873597,2,0,0.00303535093553
10157,10,0,0.000613845593762,10,0,0.00140131136868,10,0,0.000621418585069,10,0,0.00026626480394,10,1,0.999756157398
10158,10,0,0.000361274956958,10,0,0.00794216338545,10,0,0.000459799834061,10,0,0.000108576619823,10,1,0.998359024525
10159,10,0,0.00134228391107,10,0,0.590726912022,10,0,0.00190279108938,10,0,8.69331997819e-05,10,1,0.260914504528
10160,2,0,0.000784524658229,2,1,0.99920552969,2,0,0.000224706920562,2,0,6.10339338891e-05,2,0,0.00108108168934
10161,2,0,0.0050981589593,2,1,0.994939088821,2,0,0.00106284790672,2,0,7.6735886978e-05,2,0,0.0172491129488
10162,2,0,0.00148732052185,2,1,0.989245295525,2,0,0.000156753216288,2,0,0.000902554602362,2,0,0.00570838572457
10163,10,0,0.000287874339847,10,0,0.00306613859721,10,0,0.000912755029276,10,0,0.000153979548486,10,1,0.998198926449
10164,10,0,0.000691879366059,10,0,0.224426850677,10,0,0.00829889439046,10,0,0.00035329136881,10,1,0.595191597939
10165,10,0,0.00142536032945,10,0,0.0339464582503,10,0,0.100664436817,10,0,0.000693928450346,10,1,0.714791178703
10166,2,0,0.00128127983771,2,1,0.925085544586,2,0,0.000202235096367,2,0,8.17672116682e-05,2,0,0.0113866906613
10167,10,0,0.0210377946496,10,0,0.0215451475233,10,0,0.000363719213055,10,0,0.00509904650971,10,1,0.975272536278
10168,10,0,0.00145615520887,10,0,0.031665712595,10,0,0.104943834245,10,0,0.00160394643899,10,1,0.565218567848
10169,10,0,0.00193068443332,10,0,0.00395640498027,10,0,0.00101699517109,10,0,0.000114891729027,10,1,0.99537473917
10170,2,0,0.000896305369679,2,1,0.696188032627,2,0,0.000125244332594,2,0,7.03276673448e-05,2,0,0.139082863927
10171,2,0,0.000567185401451,2,1,0.986707687378,2,0,0.000130680433358,2,0,0.000113130772661,2,0,0.00586703466251
10172,10,0,0.0188114717603,10,0,0.0223938561976,10,0,0.00620158622041,10,0,0.000305947178276,10,1,0.83323520422
10173,10,0,0.00398152321577,10,0,0.00438968930393,10,0,0.00250363582745,10,0,0.00201849988662,10,1,0.993935167789
10174,2,0,0.00573822017759,2,1,0.865543782711,2,0,0.0142205338925,2,0,0.000840613385662,2,0,0.159253284335
10175,10,0,0.00118819007184,10,0,0.135896638036,10,0,0.0153214549646,10,0,0.0121799083427,10,1,0.524928748608
10176,10,0,0.00229152664542,10,0,0.087538279593,10,0,0.0711133033037,10,0,0.00143713667057,10,1,0.846754491329
10177,10,0,0.0013812877005,10,0,0.087149143219,10,0,0.020912559703,10,0,0.0012918272987,10,1,0.636165320873
10178,2,0,0.00186236714944,2,1,0.94077950716,2,0,0.00014332900173,2,0,0.000309404655127,2,0,0.0230140518397
10179,10,0,0.00202856468968,10,0,0.0061708134599,10,0,0.00030500793946,10,0,0.00209176097997,10,1,0.982003390789
10180,10,0,0.000668739608955,10,0,0.0116689037532,10,0,0.00206774752587,10,0,0.000313222029945,10,1,0.997766256332
10181,10,0,0.00674780784175,10,0,0.00679597631097,10,0,0.000677839911077,10,0,0.00221082661301,10,1,0.993510067463
10182,10,0,0.00128145620693,10,0,0.00477031385526,10,0,0.00249239220284,10,0,0.00092045130441,10,1,0.98145711422
10183,10,0,0.00160602934193,10,0,0.00834830291569,10,0,0.000364445324522,10,0,0.000575932848733,10,1,0.981171131134
10184,10,0,0.00254580355249,10,0,0.00409895181656,10,0,0.000379348581191,10,0,0.000909038237296,10,1,0.982141494751
10185,10,0,0.000245748291491,10,0,0.00184952514246,10,0,0.00160872528795,10,0,0.00033317488851,10,1,0.996233999729
10186,10,0,0.00921032670885,10,0,0.0274047777057,10,0,0.0319898873568,10,0,0.00229626172222,10,1,0.642644405365
10187,2,0,0.00128673121799,2,1,0.231522187591,2,0,0.0107735190541,2,0,0.00129976659082,2,0,0.293562561274
10188,2,0,0.00114592374302,2,1,0.637938797474,2,0,0.000153855682584,2,0,7.43160926504e-05,2,0,0.27195289731
10189,2,0,0.000453255692264,2,1,0.915766179562,2,0,0.000223462586291,2,0,6.68994980515e-05,2,0,0.133948624134
10190,2,0,0.000729716382921,2,1,0.872340261936,2,0,0.000150818290422,2,0,6.15710523562e-05,2,0,0.081839710474
10191,2,0,0.000615656957962,2,1,0.808569669724,2,0,0.000171669249539,2,0,7.23260309314e-05,2,0,0.192001059651
