test-merror-mean,test-merror-std,train-merror-mean,train-merror-std,nb,bst_nb,bst_merror
0.1606738,0.00776466597865,0.108758,0.00348605754399,0,1752,0.1243228
0.1515118,0.00791633689025,0.0976258,0.00262083753026,1,1752,0.1243228
0.1486554,0.00634446100469,0.0941534,0.00235123555604,2,1752,0.1243228
0.148261,0.00742803791051,0.0922324,0.00185832856083,3,1752,0.1243228
0.1467838,0.00808331252396,0.0914934,0.00198949225683,4,1752,0.1243228
0.1459956,0.00877866884214,0.0905824,0.00193923661269,5,1752,0.1243228
0.1461922,0.00721915195574,0.0899172,0.00159301505329,6,1752,0.1243228
0.145306,0.00948012778395,0.0893016,0.00194143303773,7,1752,0.1243228
0.1450104,0.00883446853184,0.0893756,0.00214810023975,8,1752,0.1243228
0.1441236,0.00867233252591,0.0899912,0.00219795117325,9,1752,0.1243228
0.1432366,0.00823670382131,0.0889566,0.00221213115344,10,1752,0.1243228
0.144518,0.00892907007476,0.0890554,0.00189508802962,11,1752,0.1243228
0.1441234,0.0102482636695,0.0877992,0.00161848502001,12,1752,0.1243228
0.1439262,0.0102500989342,0.0873066,0.0019474906521,13,1752,0.1243228
0.143237,0.00969723104809,0.0867896,0.00187775766275,14,1752,0.1243228
0.1433356,0.0104951107207,0.0868144,0.00177063780599,15,1752,0.1243228
0.1425474,0.0097151343089,0.0860506,0.00206927249051,16,1752,0.1243228
0.143828,0.0100622349605,0.0858046,0.00220836252459,17,1752,0.1243228
0.1431386,0.00947762336454,0.0854596,0.00201491365572,18,1752,0.1243228
0.143237,0.0092577940569,0.0856322,0.00160861796583,19,1752,0.1243228
0.143434,0.00854776431589,0.0852872,0.00160071913839,20,1752,0.1243228
0.144025,0.00865538449753,0.0844992,0.00154736128942,21,1752,0.1243228
0.1429414,0.00891449688092,0.083908,0.00153151846218,22,1752,0.1243228
0.1429414,0.00931477597369,0.0840312,0.00119253602042,23,1752,0.1243228
0.1430398,0.00902848163093,0.0832924,0.00108890561574,24,1752,0.1243228
0.1430396,0.00875476411104,0.0832184,0.00100035465711,25,1752,0.1243228
0.1416604,0.00819381807462,0.083366,0.00134892164339,26,1752,0.1243228
0.142153,0.00854078886286,0.0830462,0.0013346730536,27,1752,0.1243228
0.1413648,0.00839873877198,0.082775,0.00117948870279,28,1752,0.1243228
0.141562,0.00846171081992,0.0828244,0.000925656869472,29,1752,0.1243228
0.141365,0.00832425806904,0.0826028,0.00113972933629,30,1752,0.1243228
0.141365,0.00810014444316,0.0821592,0.00145024486208,31,1752,0.1243228
0.141365,0.00772716783822,0.0822088,0.000807747831938,32,1752,0.1243228
0.1406754,0.00800147970315,0.0820362,0.0010580199242,33,1752,0.1243228
0.140971,0.00792662543583,0.0817162,0.000926204599427,34,1752,0.1243228
0.1405768,0.00793913978716,0.0816668,0.000751591218682,35,1752,0.1243228
0.140577,0.00797768730899,0.0811004,0.00105497708032,36,1752,0.1243228
0.1408728,0.00811343575558,0.0811006,0.00095463282994,37,1752,0.1243228
0.1406754,0.00790461421197,0.0811498,0.000773621716345,38,1752,0.1243228
0.1410696,0.00825837581126,0.0808048,0.000641619949815,39,1752,0.1243228
0.1403798,0.00799086344271,0.0808292,0.00090206993077,40,1752,0.1243228
0.1406754,0.00802350919735,0.0804108,0.00058979738894,41,1752,0.1243228
0.1403798,0.00807465257209,0.080337,0.000964650817654,42,1752,0.1243228
0.1402812,0.00791898757165,0.080189,0.00109112620718,43,1752,0.1243228
0.1410694,0.00808389652581,0.0801398,0.0010513706102,44,1752,0.1243228
0.1402814,0.00810271286916,0.0797458,0.00108818976286,45,1752,0.1243228
0.140183,0.00843741597884,0.0796966,0.00107393120823,46,1752,0.1243228
0.139789,0.00793224460036,0.0795488,0.000913672895516,47,1752,0.1243228
0.1396904,0.00804329279835,0.0793272,0.000979763318358,48,1752,0.1243228
0.1397888,0.00826678572119,0.079081,0.000887442617863,49,1752,0.1243228
0.139493,0.00812434204105,0.0787852,0.000941414552681,50,1752,0.1243228
0.1396902,0.00824948661191,0.078564,0.00083738855975,51,1752,0.1243228
0.1399858,0.00833552912298,0.078613,0.00115889826991,52,1752,0.1243228
0.1400842,0.00875199148537,0.0785392,0.0010906334673,53,1752,0.1243228
0.1395918,0.00879513434576,0.0784404,0.000935883240581,54,1752,0.1243228
0.1392962,0.00897452043064,0.0782928,0.000914575617431,55,1752,0.1243228
0.1394934,0.00802205187218,0.0779972,0.000754389130356,56,1752,0.1243228
0.1395918,0.00822747391123,0.077751,0.000709605524218,57,1752,0.1243228
0.1394932,0.00816001547548,0.0774308,0.0008200096097,58,1752,0.1243228
0.1394932,0.00812546661799,0.0772338,0.000941570262912,59,1752,0.1243228
0.1394934,0.00807146778721,0.0772092,0.000949920080849,60,1752,0.1243228
0.1395916,0.00802360693454,0.0771354,0.000938912264272,61,1752,0.1243228
0.1398876,0.00778797436051,0.076889,0.00111629798889,62,1752,0.1243228
0.1400844,0.00759038553962,0.0767166,0.000913105601779,63,1752,0.1243228
0.1396904,0.0080018603237,0.0765196,0.000748373329295,64,1752,0.1243228
0.1397888,0.0077420639212,0.0759776,0.00103613060953,65,1752,0.1243228
0.1393948,0.00761987489136,0.0759778,0.000960018624819,66,1752,0.1243228
0.1395918,0.00754081076278,0.0757068,0.00101007948202,67,1752,0.1243228
0.139395,0.0082546968206,0.075559,0.00107765820184,68,1752,0.1243228
0.1391978,0.008050261397,0.0753374,0.000948707668357,69,1752,0.1243228
0.1392962,0.00787252959093,0.0751894,0.00112231539239,70,1752,0.1243228
0.1389024,0.00751800182495,0.0747218,0.00112443112728,71,1752,0.1243228
0.1386068,0.0070865922812,0.0746478,0.00128375533495,72,1752,0.1243228
0.1387052,0.00717597980488,0.074303,0.00152244816004,73,1752,0.1243228
0.1388036,0.00677155257234,0.0740568,0.00144293234769,74,1752,0.1243228
0.1385082,0.00703291508267,0.0737612,0.00145637953844,75,1752,0.1243228
0.1386068,0.00714411025671,0.073392,0.00162778892981,76,1752,0.1243228
0.1385084,0.00685841633615,0.0731212,0.00174212024843,77,1752,0.1243228
0.1387052,0.00701288195823,0.0730472,0.00157138708153,78,1752,0.1243228
0.1385082,0.00721410414119,0.0726284,0.00182384315115,79,1752,0.1243228
0.1386066,0.00730325948053,0.0724558,0.00148437884652,80,1752,0.1243228
0.1386066,0.0071559097982,0.0723572,0.00156412242488,81,1752,0.1243228
0.1385082,0.00703217378625,0.072185,0.00148003418879,82,1752,0.1243228
0.1386066,0.0070808486949,0.0719636,0.0014018451555,83,1752,0.1243228
0.1384094,0.00722577186465,0.0719882,0.0014195050405,84,1752,0.1243228
0.1385082,0.0071077489376,0.0717662,0.00144229073352,85,1752,0.1243228
0.1380158,0.00720272627274,0.0715692,0.00141257316979,86,1752,0.1243228
0.1380156,0.00694886383807,0.071274,0.00148797405891,87,1752,0.1243228
0.1380154,0.00705185775807,0.0711014,0.00145510049138,88,1752,0.1243228
0.1380154,0.00705185775807,0.0711014,0.00158922403707,89,1752,0.1243228
0.1379172,0.0072200497339,0.0707074,0.00159999107498,90,1752,0.1243228
0.1378186,0.00728282034929,0.0705842,0.00154414615889,91,1752,0.1243228
0.137917,0.00729796637427,0.0701902,0.00145392660062,92,1752,0.1243228
0.1376216,0.00725010018138,0.0698208,0.00147260509302,93,1752,0.1243228
0.1377202,0.00712964698705,0.0696976,0.00164976441955,94,1752,0.1243228
0.1376216,0.00719050567346,0.069476,0.00159634983635,95,1752,0.1243228
0.1373262,0.00724447810129,0.0693776,0.00170348015545,96,1752,0.1243228
0.13772,0.00721104738578,0.0692052,0.00176028309087,97,1752,0.1243228
0.137523,0.00749331688907,0.0691312,0.00167810230916,98,1752,0.1243228
0.137523,0.00749331688907,0.068959,0.00160293405978,99,1752,0.1243228
0.1377202,0.00730462892692,0.0687616,0.001638077605,100,1752,0.1243228
0.1373258,0.00710704128031,0.068491,0.0017137858676,101,1752,0.1243228
0.1373262,0.0070129263906,0.0681704,0.00165262489392,102,1752,0.1243228
0.1375232,0.00687355292116,0.0679984,0.00163370702392,103,1752,0.1243228
0.1375232,0.00707647763792,0.0678998,0.00129591502808,104,1752,0.1243228
0.1374248,0.00703217580554,0.0677028,0.00119821089963,105,1752,0.1243228
0.1368336,0.00725884069532,0.0674074,0.00120583889471,106,1752,0.1243228
0.1370306,0.00678209161247,0.0671364,0.00127402897926,107,1752,0.1243228
0.1372276,0.00667577083489,0.067038,0.00127905480727,108,1752,0.1243228
0.1373262,0.00704276583169,0.0666684,0.00134381079025,109,1752,0.1243228
0.1366366,0.0071866475244,0.0665696,0.0013861813157,110,1752,0.1243228
0.1364394,0.00713472223986,0.0662988,0.00118514157804,111,1752,0.1243228
0.136341,0.00744347502179,0.0661266,0.00155829709619,112,1752,0.1243228
0.1368336,0.0071451259639,0.0660034,0.00148610559517,113,1752,0.1243228
0.1368336,0.0072998014384,0.0658556,0.00140299131858,114,1752,0.1243228
0.1367352,0.00736045665431,0.0656832,0.00126956833609,115,1752,0.1243228
0.1367352,0.00751774374131,0.0655108,0.00136717934449,116,1752,0.1243228
0.1364396,0.00761146476311,0.0653138,0.00126445694272,117,1752,0.1243228
0.1363412,0.00724817542282,0.0647472,0.00137389073801,118,1752,0.1243228
0.1364396,0.00702706603356,0.064501,0.00142417681487,119,1752,0.1243228
0.1362428,0.00736870413031,0.0641564,0.00134891950835,120,1752,0.1243228
0.1363412,0.00724817542282,0.0640086,0.00126635896964,121,1752,0.1243228
0.1363412,0.00736756897219,0.0637866,0.001442339433,122,1752,0.1243228
0.1361442,0.00719510245653,0.063639,0.00140289272576,123,1752,0.1243228
0.1362426,0.00719528844731,0.063442,0.00132714776871,124,1752,0.1243228
0.135947,0.00713081936386,0.0632694,0.00122457904604,125,1752,0.1243228
0.135947,0.00742263508466,0.0629742,0.00142900572427,126,1752,0.1243228
0.1358484,0.00740632072219,0.0630232,0.00131098167798,127,1752,0.1243228
0.136144,0.00755750350314,0.0627772,0.00131071864258,128,1752,0.1243228
