feature,score
p55,0.567925903086
posi_neg_q,0.570716631555
p40,0.58524770925
p32,0.614251672499
first_phase_rate,0.616633335051
p42,0.61811329648
p56,0.618907844617
p39,0.621327605916
p23,0.64338004449
p12,0.64773262272
p43,0.64938209228
p44,0.654495072629
p24,0.657722028583
p41,0.659197527076
p61,0.662884810762
p63,0.673711543454
p31,0.680463337286
p59,0.681819511517
p46,0.684910941978
p54,0.691897138118
p57,0.695092487564
cycle_num,0.705287574617
p25,0.708795145025
p9,0.712143931453
p47,0.714907142401
p11,0.732109674178
p29,0.733613973281
p26,0.736322478478
p62,0.74189853939
p60,0.742990375928
p1,0.747176313093
p7,0.750909647921
p28,0.763635488765
p53,0.771253716436
p38,0.781223668203
p0,0.781414718115
p13,0.782519605012
p6,0.784269627304
p5,0.794028149481
p45,0.814106297224
p21,0.819936851869
p14,0.82088415911
p8,0.835491500644
p27,0.850096995727
p52,0.866429359887
p10,0.880539036447
p15,0.89858835168
p22,0.930807874006
p58,0.962054522603
p37,0.971019744552
p30,0.971876915935
p3,1.03042822858
p2,1.0547654701
p4,1.06207863116
p48,1.08208470183
p33,1.09951345183
p20,1.10196324321
p51,1.15468913928
p49,1.19847090657
p34,1.21200784318
p50,1.28602651952
p35,1.60448499956
p16,1.84453359491
p17,1.88535211317
p19,2.71755362217
p18,5.03588417552
p36,8.13226622966
