test-merror-mean,test-merror-std,train-merror-mean,train-merror-std,nb,bst_nb,bst_merror
0.1626444,0.00438588721241,0.105039,0.00103399613152,0,2940,0.1160476
0.1516112,0.00730003436704,0.0917644,0.0013759723253,1,2940,0.1160476
0.1451094,0.00498713487285,0.0877252,0.00148339817986,2,2940,0.1160476
0.142351,0.00578064124471,0.0861,0.00144744132869,3,2940,0.1160476
0.1409718,0.00676725889559,0.0843514,0.00136174778869,4,2940,0.1160476
0.1401838,0.00777131029878,0.0830952,0.00106541605019,5,2940,0.1160476
0.1393958,0.00735931296793,0.083366,0.00084019926208,6,2940,0.1160476
0.1382132,0.00648564301824,0.0827258,0.00128353222009,7,2940,0.1160476
0.1371292,0.00710508894807,0.0823562,0.00105228596874,8,2940,0.1160476
0.1370312,0.00783543615633,0.0817158,0.000972661379926,9,2940,0.1160476
0.1376222,0.00790292546846,0.0812482,0.000717319287347,10,2940,0.1160476
0.1365386,0.00840658719339,0.0806326,0.000783206128679,11,2940,0.1160476
0.13644,0.00802019842647,0.0806568,0.00118535250453,12,2940,0.1160476
0.1379176,0.00830572172903,0.0798198,0.00107712309417,13,2940,0.1160476
0.1368342,0.00894493198185,0.0795734,0.00159844744674,14,2940,0.1160476
0.135849,0.00758078259812,0.0791056,0.00166656924249,15,2940,0.1160476
0.136637,0.00733042478987,0.079524,0.0012571412013,16,2940,0.1160476
0.1367352,0.00725958349769,0.078687,0.00128035370113,17,2940,0.1160476
0.135849,0.00860045366245,0.0788594,0.00123498171646,18,2940,0.1160476
0.1362428,0.00853360846067,0.078416,0.00105603901443,19,2940,0.1160476
0.136243,0.00834521906243,0.0780216,0.00133584034974,20,2940,0.1160476
0.1349626,0.00741821403304,0.0777262,0.00112019559006,21,2940,0.1160476
0.1359474,0.00798838055178,0.0775542,0.00132905732006,22,2940,0.1160476
0.1357504,0.00816587530152,0.0771352,0.00156375949557,23,2940,0.1160476
0.1360458,0.00781374425996,0.0775046,0.00150640812531,24,2940,0.1160476
0.1354548,0.00804950262811,0.0772092,0.00137012414036,25,2940,0.1160476
0.1352578,0.00803326766391,0.0771846,0.00132630367563,26,2940,0.1160476
0.1359474,0.00807798327802,0.076766,0.00139963152294,27,2940,0.1160476
0.1357502,0.00848087154484,0.0765688,0.00135084142667,28,2940,0.1160476
0.13575,0.00786759836291,0.0765442,0.00135564057183,29,2940,0.1160476
0.1360456,0.00816790990646,0.0765194,0.00159730868651,30,2940,0.1160476
0.1351594,0.00783112049709,0.0760762,0.00140327907417,31,2940,0.1160476
0.1347652,0.00803360826528,0.0757808,0.00131950057219,32,2940,0.1160476
0.1351592,0.00808709296101,0.0752636,0.00119387932388,33,2940,0.1160476
0.1348634,0.00797830432109,0.0751158,0.00118887853038,34,2940,0.1160476
0.134371,0.00801493328731,0.0749188,0.00118125076085,35,2940,0.1160476
0.1350606,0.00824292376769,0.074648,0.00136902432411,36,2940,0.1160476
0.1347652,0.00757467880243,0.0744752,0.00118408908449,37,2940,0.1160476
0.1345682,0.00717737967228,0.0744262,0.00146196831703,38,2940,0.1160476
0.134371,0.00763553945704,0.0744756,0.00142994287998,39,2940,0.1160476
0.1344696,0.00759963782295,0.0739582,0.00153063678252,40,2940,0.1160476
0.1350608,0.00784294188172,0.0736628,0.0015577729488,41,2940,0.1160476
0.1349618,0.00801544377811,0.0735642,0.001432562236,42,2940,0.1160476
0.134962,0.00810790525352,0.0734164,0.00162089883707,43,2940,0.1160476
0.1350608,0.00796646627809,0.0733426,0.00133241098765,44,2940,0.1160476
0.1343708,0.00740890368138,0.0730472,0.00154040908852,45,2940,0.1160476
0.1343712,0.00710702208805,0.073121,0.00162787112512,46,2940,0.1160476
0.1349624,0.00805317911387,0.0728006,0.0015458701886,47,2940,0.1160476
0.1347652,0.00748828833312,0.0727022,0.00140697056117,48,2940,0.1160476
0.1344696,0.00762700141864,0.0726776,0.0016489136545,49,2940,0.1160476
0.1343712,0.00767365765199,0.0723328,0.00161439442516,50,2940,0.1160476
0.1342726,0.00755440837128,0.0717664,0.00131572255434,51,2940,0.1160476
0.1342726,0.00710912224118,0.0714952,0.00133641406757,52,2940,0.1160476
0.134568,0.00740344625158,0.0713722,0.00150711995541,53,2940,0.1160476
0.134765,0.00782524834111,0.0711262,0.00154889785331,54,2940,0.1160476
0.1346664,0.00743680895546,0.070855,0.00145646242657,55,2940,0.1160476
0.1344694,0.00779116252173,0.0706336,0.00145840743278,56,2940,0.1160476
0.1344696,0.00807306121865,0.0706582,0.00134524695131,57,2940,0.1160476
0.1346668,0.00848620677099,0.070461,0.0015563635822,58,2940,0.1160476
0.1347652,0.00803462672188,0.0703134,0.00127533142359,59,2940,0.1160476
0.134568,0.00833575860975,0.0699438,0.00152240880187,60,2940,0.1160476
0.1340754,0.00774957270048,0.0695006,0.00164655234961,61,2940,0.1160476
0.13378,0.00762556668058,0.0695006,0.00170581483169,62,2940,0.1160476
0.1336816,0.0075476255763,0.0691806,0.00155653147736,63,2940,0.1160476
0.1336814,0.00739204460484,0.0690574,0.00159850775413,64,2940,0.1160476
0.1336814,0.00766882918313,0.0687124,0.00153982461339,65,2940,0.1160476
0.1333862,0.00809307759508,0.0684414,0.00144121526498,66,2940,0.1160476
0.132992,0.0082908105032,0.0680226,0.00144562534565,67,2940,0.1160476
0.133189,0.00835845600575,0.067949,0.00155829060191,68,2940,0.1160476
0.133189,0.00796014263691,0.0676288,0.00166721797015,69,2940,0.1160476
0.1324994,0.00798799658488,0.0675794,0.001672494855,70,2940,0.1160476
0.1326964,0.00780146023767,0.0673332,0.00148605321574,71,2940,0.1160476
0.1327952,0.00747122713883,0.0671362,0.00156186688293,72,2940,0.1160476
0.1327948,0.00798612931025,0.0670376,0.00147438700483,73,2940,0.1160476
0.1326966,0.00786423037811,0.0670128,0.00147993180924,74,2940,0.1160476
0.1324994,0.00792787789008,0.0668898,0.00151644945844,75,2940,0.1160476
0.1325982,0.00769459008395,0.0663974,0.0015697972608,76,2940,0.1160476
0.132401,0.00801554527153,0.0662004,0.00176640296648,77,2940,0.1160476
0.1324996,0.00790931285511,0.0660528,0.00183701381595,78,2940,0.1160476
0.132401,0.00787641641865,0.0659788,0.00167417697989,79,2940,0.1160476
0.1329922,0.0075403548829,0.0658802,0.00165320021776,80,2940,0.1160476
0.1329922,0.00746831334104,0.0654368,0.00165963952713,81,2940,0.1160476
0.1325982,0.00731294992189,0.0653876,0.00166235575013,82,2940,0.1160476
0.1323024,0.00713989009999,0.064969,0.00172479007418,83,2940,0.1160476
0.132204,0.00717445643934,0.0648704,0.00155019283962,84,2940,0.1160476
0.13181,0.00736768186067,0.0646732,0.00164476519905,85,2940,0.1160476
0.1317114,0.00728216752348,0.064501,0.00146132720497,86,2940,0.1160476
0.1318098,0.00751096434288,0.0642796,0.00165678225485,87,2940,0.1160476
0.1317114,0.00748493501909,0.0641316,0.00158290588476,88,2940,0.1160476
0.1317114,0.0076006103597,0.0639344,0.00162208095976,89,2940,0.1160476
0.1315144,0.00760371826411,0.063836,0.00171707041207,90,2940,0.1160476
0.131416,0.00737214579346,0.0634914,0.00174855490048,91,2940,0.1160476
0.131613,0.00747029110544,0.0632204,0.00165386004245,92,2940,0.1160476
0.1317116,0.00749123751059,0.0631956,0.00173236030894,93,2940,0.1160476
0.1313172,0.00773932230625,0.0629986,0.00162264199379,94,2940,0.1160476
0.1312188,0.0075617517124,0.0629248,0.0016196009879,95,2940,0.1160476
0.13181,0.00731375452145,0.062851,0.00152634779785,96,2940,0.1160476
0.1317116,0.00722107123909,0.062531,0.00151602401036,97,2940,0.1160476
0.1314158,0.00710390186869,0.0622846,0.0016107731808,98,2940,0.1160476
0.1314158,0.00710390186869,0.0620874,0.0015058578419,99,2940,0.1160476
0.131219,0.00743380330652,0.0617918,0.00145276307772,100,2940,0.1160476
0.1311204,0.00757380133354,0.0615948,0.00125373512354,101,2940,0.1160476
0.1312188,0.00738056435241,0.061595,0.00124124840383,102,2940,0.1160476
0.1313176,0.00757458240697,0.0613484,0.00121924445457,103,2940,0.1160476
0.1310218,0.00762139864854,0.0609794,0.00133784372779,104,2940,0.1160476
0.1309234,0.00760468120568,0.0608316,0.00136839783689,105,2940,0.1160476
0.1310218,0.00764045730045,0.0604868,0.00147152946284,106,2940,0.1160476
0.1306278,0.00763765538369,0.060265,0.00131745815873,107,2940,0.1160476
0.1307262,0.00779011795546,0.0601416,0.00145102454838,108,2940,0.1160476
0.1305292,0.00764197737238,0.0600678,0.00151189277398,109,2940,0.1160476
0.1304304,0.00754050249254,0.0597478,0.00145090625472,110,2940,0.1160476
0.130332,0.00761199083026,0.0594522,0.00146112811211,111,2940,0.1160476
0.1300364,0.00780384204351,0.0593044,0.00173151986417,112,2940,0.1160476
0.1300368,0.00800642775275,0.0590582,0.00153791396378,113,2940,0.1160476
0.1298396,0.00823217438105,0.0588614,0.00134328606038,114,2940,0.1160476
