feature,fscore
alarm_id,1665
p55,6944
p52,7727
p23,7813
p53,7884
p28,8199
p54,8388
p29,8587
p24,8729
p56,8806
p21,8821
p61,8922
p1,9171
p20,9181
p11,9193
p31,9260
p22,9321
p43,9398
p32,9400
p30,9417
p25,9575
p17,9657
p27,9663
p49,9693
p44,9736
p41,9768
p57,9826
p19,9870
p48,9896
p42,9947
p63,10170
p0,10218
p40,10231
p60,10236
p18,10295
p47,10478
p50,10537
p33,10584
p10,10619
p59,10660
p26,10665
p9,10794
p51,10824
p34,10925
p16,11037
p39,11042
p12,11223
p46,11448
p15,11773
p58,11886
p62,11895
p45,11967
p8,12056
p2,12161
p13,12229
p14,13056
p7,13666
cycle_num,13695
p38,13887
p35,14905
p6,15185
p37,15575
p3,16064
p5,17239
p4,18590
p36,19582
first_phase_rate,25881
posi_neg_q,30035
