feature,score
p55,0.654535134969
alarm_id,0.682255998632
p40,0.72000451072
p56,0.730804788426
p42,0.73757020123
p24,0.746952553034
p23,0.746997611002
p32,0.752778500245
p39,0.754017360916
p43,0.782550150865
p61,0.785186220094
p31,0.788243801838
p12,0.799604475329
p63,0.800268040627
p44,0.801109699644
p54,0.808283097326
p46,0.809019429804
p41,0.814402496523
p59,0.819348456105
p25,0.819416995287
p57,0.824285367006
p47,0.846199878678
cycle_num,0.849405658468
p1,0.852016760885
p9,0.85950304038
p29,0.860017362259
p11,0.861782414196
p60,0.868895080072
p28,0.86987326681
p53,0.875644675626
p26,0.879288279505
p7,0.882905712236
p62,0.883543541716
p0,0.906361655064
p13,0.918460501823
p21,0.944976721954
p6,0.950272465039
p38,0.950738354268
p45,0.95296015777
p27,0.966057990248
p14,0.96641337441
p5,0.974821146769
p52,0.988374393221
p8,1.01443632964
p10,1.02828744667
p15,1.0289052066
p22,1.0431408112
p58,1.12613607611
p37,1.1553943919
p30,1.18146385274
p3,1.18814092204
p20,1.21375492712
p2,1.21734318886
p48,1.23459952191
p4,1.27133003553
p33,1.31603541477
p51,1.34825253511
p49,1.37616080161
p34,1.39343450547
p50,1.47784894865
p35,1.82990746
p17,2.09717794678
p16,2.12766567748
p19,3.02501164073
p18,5.65007199888
p36,9.19314328536
