feature,score
p55,0.666643638046
p40,0.710419581857
p56,0.724652800525
p32,0.74845380121
p24,0.751480818673
p23,0.755114257881
p42,0.779902381383
p54,0.787432983731
p39,0.798370482746
p46,0.807612976337
p43,0.812817695118
p41,0.822235961943
p44,0.824961181259
p25,0.825462706357
p61,0.826002499619
p59,0.830596430523
p12,0.83099248414
p63,0.841481196898
p57,0.846892129968
p31,0.847028494693
p47,0.856965625619
p11,0.872003251204
cycle_num,0.875037100265
p28,0.875665119721
p9,0.892403554715
p26,0.895563983582
p62,0.897016737574
p0,0.898362910075
p53,0.899878033118
p60,0.900312161698
p1,0.912056014741
p7,0.924842752999
p29,0.940364485999
p21,0.941176243127
p13,0.950338746635
p38,0.956764464988
p45,0.957555440902
p6,0.970589075661
p14,0.979365707821
p5,0.979419725134
p27,1.02136668099
p8,1.03046526841
p10,1.03093661107
p15,1.06215827363
p22,1.06888375671
p52,1.11938610927
p58,1.15496365354
p37,1.1550446701
p3,1.21515558946
p30,1.21893040374
p2,1.22507172584
p20,1.24836872989
p33,1.26163827922
p48,1.29515349261
p4,1.31167717381
p51,1.3189029762
p49,1.32548676427
p34,1.41976898886
p50,1.52729924873
p35,1.86216547423
p16,2.18803722178
p17,2.31472217772
p19,3.05202856683
p18,5.4782696843
p36,9.51153636853
